,Scientific name,Common name,TypeLocality
10769,SUBSPECIES YES,,
10770,SUBSPECIES YES,,
10771,SUBSPECIES YES,,
10772,SUBSPECIES YES,,
10773,SUBSPECIES YES,,
10774,SUBSPECIES YES,,
10775,SUBSPECIES YES,,
10776,SUBSPECIES YES,,
10777,SUBSPECIES YES,,
10778,SUBSPECIES YES,,
10779,SUBSPECIES YES,,
10780,SUBSPECIES YES,,
10781,SUBSPECIES YES,,
10782,SUBSPECIES YES,,
10783,SUBSPECIES YES,,
10784,SUBSPECIES YES,,
10785,SUBSPECIES YES,,
10786,GENUS YES,,
10787,SPECIES YES,,"""Canada""; listed in Miller (1912<i>a</i>) as ""Eastern Canada""."
10788,SUBSPECIES YES,,"""Canada""; listed in Miller (1912<i>a</i>) as ""Eastern Canada""."
10789,SUBSPECIES YES,,
10790,SUBSPECIES YES,,
10791,SPECIES YES,,"""Europe sylvis and desertis"", subsequently restricted by Thomas (1911<i>a</i>:136) to ""Wennersborg, S. Sweden""."
10792,SUBSPECIES YES,,"""Europe sylvis and desertis"", subsequently restricted by Thomas (1911<i>a</i>:136) to ""Wennersborg, S. Sweden""."
10793,SUBSPECIES YES,,
10794,SUBSPECIES YES,,
10795,SUBSPECIES YES,,
10796,SUBSPECIES YES,,
10797,SPECIES YES,,"""Portugal, puisque le commerce reçoit des peaux préparées de Lisbonne, et que M. le baron de Vionénil tua, en 1818, sur les bords du Tage, ŕ dix lieues de Lisbonne""."
10798,SPECIES YES,,"""Provinz New York in Amerika""."
10799,SUBSPECIES YES,,"""Provinz New York in Amerika""."
10800,SUBSPECIES YES,,
10801,SUBSPECIES YES,,
10802,SUBSPECIES YES,,
10803,SUBSPECIES YES,,
10804,SUBSPECIES YES,,
10805,SUBSPECIES YES,,
10806,SUBSPECIES YES,,
10807,SUBSPECIES YES,,
10808,SUBSPECIES YES,,
10809,SUBSPECIES YES,,
10810,SUBSPECIES YES,,
10811,GENUS YES,,
10812,SPECIES YES,,"""Java or Sumatra"" [Indonesia], restricted by Robinson and Kloss (1919<i>a</i>:261), to ""Sumatra""."
10813,SUBSPECIES YES,,"""Java or Sumatra"" [Indonesia], restricted by Robinson and Kloss (1919<i>a</i>:261), to ""Sumatra""."
10814,SUBSPECIES YES,,
10815,GENUS YES,,
10816,SPECIES YES,,"""Bengal"" [India]."
10817,SUBSPECIES YES,,"""Bengal"" [India]."
10818,SUBSPECIES YES,,
10819,SUBSPECIES YES,,
10820,SUBSPECIES YES,,
10821,SUBSPECIES YES,,
10822,SUBSPECIES YES,,
10823,SUBSPECIES YES,,
10824,SUBSPECIES YES,,
10825,SUBSPECIES YES,,
10826,SUBSPECIES YES,,
10827,SUBSPECIES YES,,
10828,SPECIES YES,,"""Haimida, Iriomote""."
10829,SPECIES YES,Flat-headed Cat,"""Sumatra"" [Indonesia]."
10830,SPECIES YES,Rusty-Spotted Cat,"""bois de lataniers qui couvrent une hauteur voisine de Pondichéry"" [India, Pondicherry]."
10831,SUBSPECIES YES,,"""bois de lataniers qui couvrent une hauteur voisine de Pondichéry"" [India, Pondicherry]."
10832,SUBSPECIES YES,,
10833,SPECIES YES,,"""from the continent of India""."
10834,GENUS YES,,
10835,SPECIES YES,African Golden Cat,"""Nous ne savons pas au juste dans quelle partie du globe a été trouvé""; ﬁxed by Van Mensch and Van Bree (1969) to ""probably the coastal region of Lower Guinea (Between Cross River and River Congo. . .)""."
10836,SUBSPECIES YES,,"""Nous ne savons pas au juste dans quelle partie du globe a été trouvé""; ﬁxed by Van Mensch and Van Bree (1969) to ""probably the coastal region of Lower Guinea (Between Cross River and River Congo. . .)""."
10837,SUBSPECIES YES,,
10838,GENUS YES,,
10839,SPECIES YES,,"""Brassilia"", restricted by Goldman (<i>In</i> Young and Goldman, 1946:200) to ""Cayenne region, French Guiana""."
10840,SUBSPECIES YES,,"""Brassilia"", restricted by Goldman (<i>In</i> Young and Goldman, 1946:200) to ""Cayenne region, French Guiana""."
10841,SUBSPECIES YES,,
10842,SUBSPECIES YES,,
10843,SUBSPECIES YES,,
10844,SUBSPECIES YES,,
10845,SUBSPECIES YES,,
10846,SPECIES YES,,"""Paraguay"", restricted by Hershkovitz, (1951) to ""Cayenne, French Guiana""."
10847,SUBSPECIES YES,,"""Paraguay"", restricted by Hershkovitz, (1951) to ""Cayenne, French Guiana""."
10848,SUBSPECIES YES,,
10849,SUBSPECIES YES,,
10850,SUBSPECIES YES,,
10851,SUBSPECIES YES,,
10852,SUBSPECIES YES,,
10853,SUBSPECIES YES,,
10854,SUBSPECIES YES,,
10855,SUBFAMILY YES,,
10856,GENUS YES,,
10857,SPECIES YES,Clouded Leopard,"""brought from Canton"" [China, Guangdong: Guangzhou]."
10858,SUBSPECIES YES,,"""brought from Canton"" [China, Guangdong: Guangzhou]."
10859,SUBSPECIES YES,,
10860,SUBSPECIES YES,,
10861,macrosceloides SUBSPECIES YES,,
10862,GENUS YES,,
10863,SPECIES YES,,"""Africa"", restricted by J. A. Allen (1924:222) to ""the Barbary coast region of Africa, or, more explicitly, Constantine, Algeria""."
10864,SUBSPECIES YES,,"""Africa"", restricted by J. A. Allen (1924:222) to ""the Barbary coast region of Africa, or, more explicitly, Constantine, Algeria""."
10865,SUBSPECIES YES,,
10866,SUBSPECIES YES,,
10867,SUBSPECIES YES,,
10868,SUBSPECIES YES,,
10869,SUBSPECIES YES,,
10870,SUBSPECIES YES,,
10871,SUBSPECIES YES,,
10872,SUBSPECIES YES,,
10873,SUBSPECIES YES,,
10874,SUBSPECIES YES,,
10875,SPECIES YES,,"""America meridionali"", ﬁxed by Thomas (1911<i>a</i>:136) as ""Pernambuco"" [Brazil]."
10876,SUBSPECIES YES,,"""America meridionali"", ﬁxed by Thomas (1911<i>a</i>:136) as ""Pernambuco"" [Brazil]."
10877,SUBSPECIES YES,,
10878,SUBSPECIES YES,,
10879,SUBSPECIES YES,,
10880,SUBSPECIES YES,,
10881,SUBSPECIES YES,,
10882,SUBSPECIES YES,,
10883,SUBSPECIES YES,,
10884,SUBSPECIES YES,,
10885,SPECIES YES,,"""Indiis"", ﬁxed by Thomas (1911<i>a</i>:135), as ""Egypt""; see discussion by Pocock (1930).Afghanistan, Algeria, Angola, Arabia, Armenia, Botswana, Burma, Cameroon, Central African Republic, Chad, China, Dem. Rep. Congo, Egypt, Ethiopia, Gabon, Guinea-Bissau, India, Indonesia (Java), Iran, Iraq, Kenya, Liberia, Laos, Malawi, Malaysia, Mauritania, Morocco, Mozambique, Namibia, Nepal, Niger, Nigeria, North and South Korea, Pakistan, Republic of Congo, Russia, Saudia Arabia, Senegal, Sierra Leone, Somalia, South Africa, Sri Lanka, Sudan, Tanzania, Thailand, Tunisia, Turkey, Turkmenistan, Uganda, Vietnam, Zambia, Zimbabwe."
10886,SUBSPECIES YES,,"""Indiis"", ﬁxed by Thomas (1911<i>a</i>:135), as ""Egypt""; see discussion by Pocock (1930)."
10887,SUBSPECIES YES,,
10888,SUBSPECIES YES,,
10889,SUBSPECIES YES,,
10890,SUBSPECIES YES,,
10891,SUBSPECIES YES,,
10892,SUBSPECIES YES,,
10893,SUBSPECIES YES,,
10894,SPECIES YES,,"""Asia"", ﬁxed by Thomas (1911<i>a</i>:135) as ""Bengal"" [India]."
10895,SUBSPECIES YES,,"""Asia"", ﬁxed by Thomas (1911<i>a</i>:135) as ""Bengal"" [India]."
10896,SUBSPECIES YES,,
10897,SUBSPECIES YES,,
10898,SUBSPECIES YES,,
10899,SUBSPECIES YES,,
10900,SUBSPECIES YES,,
10901,SUBSPECIES YES,,
10902,SUBSPECIES YES,,
10903,GENUS YES,,
10904,SPECIES YES,,"""Barbarey, Persien, Ostindien, und China"", restricted by Pocock (1930<i>c</i>:332) to ""Altai Mountains""."
10905,FAMILY YES,,
10906,SUBFAMILY YES,,
10907,GENUS YES,,
10908,SPECIES YES,,"""Malacca""."
10909,SUBSPECIES YES,,"""Malacca""."
10910,SUBSPECIES YES,,
10911,SUBSPECIES YES,,
10912,SUBSPECIES YES,,
10913,SUBSPECIES YES,,
10914,SUBSPECIES YES,,
10915,GENUS YES,"<i>Paradoxurus trivirgatus</i> Gray, 1832, by monotypy through the replaced name <i>Arctogale</i> Gray, 1865 (Melville and Smith, 1987).",
10916,SPECIES YES,Small-toothed Palm Civet,"""from a specimen in the Leyden Museum, sent from the Molúccas"", restricted by Jentink (1887) to ""Java, Buitenzorg"" [= Indonesia, Java, Bogor] (see comments)."
10917,SUBSPECIES YES,,"""from a specimen in the Leyden Museum, sent from the Molúccas"", restricted by Jentink (1887) to ""Java, Buitenzorg"" [= Indonesia, Java, Bogor] (see comments)."
10918,SUBSPECIES YES,,
10919,SUBSPECIES YES,,
10920,SUBSPECIES YES,,
10921,SUBSPECIES YES,,
10922,SUBSPECIES YES,,
10923,SUBSPECIES YES,,
10924,SUBSPECIES YES,,
10925,SUBSPECIES YES,,
10926,SUBSPECIES YES,,
10927,SUBSPECIES YES,,
10928,SUBSPECIES YES,,
10929,SUBSPECIES YES,,
10930,SUBSPECIES YES,,
10931,GENUS YES,,
10932,SPECIES YES,Sulawesi Palm Civet,"""in the Northern parts of the isle of Celebes"", restriced by Jentink (1887), to ""Celebes, Menado-Kinilo"" [Indonesia, Kinilou, 1°22'N, 124°51'E]."
10933,GENUS YES,,
10934,SPECIES YES,Masked Palm Civet,"Not given. Fixed by Temminck (1841) as ""Nepal"". Gray (1864) discounted this because he knew of no specimens from Nepal, and reassigned the name to two specimens from Canton, China collected by J. R. Reeve (Pocock, 1934<i>b</i>)."
10935,SUBSPECIES YES,,"Not given. Fixed by Temminck (1841) as ""Nepal"". Gray (1864) discounted this because he knew of no specimens from Nepal, and reassigned the name to two specimens from Canton, China collected by J. R. Reeve (Pocock, 1934<i>b</i>)."
10936,SUBSPECIES YES,,
10937,SUBSPECIES YES,,
10938,SUBSPECIES YES,,
10939,SUBSPECIES YES,,
10940,SUBSPECIES YES,,
10941,SUBSPECIES YES,,
10942,SUBSPECIES YES,,
10943,SUBSPECIES YES,,
10944,SUBSPECIES YES,,
10945,SUBSPECIES YES,,
10946,SUBSPECIES YES,,
10947,SUBSPECIES YES,,
10948,SUBSPECIES YES,,
10949,SUBSPECIES YES,,
10950,SUBSPECIES YES,,
10951,GENUS YES,,
10952,SPECIES YES,Asian Palm Civet,"Uncertain. ""Das Vaterland des beschreibenen Thieres ist die Barbarey"". Listed as ""India?"" by Corbet and Hill (1992)."
10953, YES,,"Uncertain. ""Das Vaterland des beschreibenen Thieres ist die Barbarey"". Listed as ""India?"" by Corbet and Hill (1992)."
10954,SUBSPECIES YES,,
10955,SUBSPECIES YES,,
10956,SUBSPECIES YES,,
10957,SUBSPECIES YES,,
10958,SUBSPECIES YES,,
10959,SUBSPECIES YES,,
10960,SUBSPECIES YES,,
10961,SUBSPECIES YES,,
10962,SUBSPECIES YES,,
10963,SUBSPECIES YES,,
10964,SUBSPECIES YES,,
10965,SUBSPECIES YES,,
10966,SUBSPECIES YES,,
10967,SUBSPECIES YES,,
10968,SUBSPECIES YES,,
10969,SUBSPECIES YES,,
10970,SUBSPECIES YES,,
10971,SUBSPECIES YES,,
10972,SUBSPECIES YES,,
10973,SUBSPECIES YES,,
10974,SUBSPECIES YES,,
10975,SUBSPECIES YES,,
10976,SUBSPECIES YES,,
10977,SUBSPECIES YES,,
10978,SUBSPECIES YES,,
10979,SUBSPECIES YES,,
10980,SUBSPECIES YES,,
10981,SUBSPECIES YES,,
10982,SUBSPECIES YES,,
10983,SPECIES YES,Jerdon's Palm Civet,"""Kodaikanal, on the Palni (or Pulney) hills in the Madura district, Madras Presidency"" [India, Tamil Nadu Province, Palni Hills, Kodaikanal; 10°15'N, 77°31'E]."
10984,SUBSPECIES YES,,"""Kodaikanal, on the Palni (or Pulney) hills in the Madura district, Madras Presidency"" [India, Tamil Nadu Province, Palni Hills, Kodaikanal; 10°15'N, 77°31'E]."
10985,SUBSPECIES YES,,
10986,SPECIES YES,Golden Palm Civet,"""Ceylon"" [= Sri Lanka]."
10987,SUBFAMILY YES,,
10988,GENUS YES,,
10989,SPECIES YES,Owston's Palm Civet,"""Yen-bay, on the Song-koi River, Tonkin"" [Vietnam: Yen Bay on the Songhoi River; 21°43'N 104°54'E]."
10990,GENUS YES,,
10991,SPECIES YES,,"""Sumatra"" [Indonesia]."
10992,SUBSPECIES YES,,"""Sumatra"" [Indonesia]."
10993,SUBSPECIES YES,,
10994,GENUS YES,,
10995,SPECIES YES,Hose's Palm Civet,"""Mount Dulit, N. Borneo, 4000 ft"" [Malaysia, Sarawak, Gunung Dulit, 3°15'N, 114°15'E, 1219 m]."
10996,GENUS YES,,
10997,SPECIES YES,Banded Palm Civet,"Not given. Fixed by Gray (1837) as ""in Peninsulâ Malayanâ""."
10998,SUBSPECIES YES,,"Not given. Fixed by Gray (1837) as ""in Peninsulâ Malayanâ""."
10999,SUBSPECIES YES,,
11000,SUBSPECIES YES,,
11001,SUBSPECIES YES,,
11002,SUBFAMILY YES,,
11003,GENUS YES,,
11004,SPECIES YES,Banded Linsang,"""Malaysia, Malacca"", restricted by Robinson and Kloss (1920:264) to ""Malacca""."
11005,SUBSPECIES YES,,"""Malaysia, Malacca"", restricted by Robinson and Kloss (1920:264) to ""Malacca""."
11006,SUBSPECIES YES,,
11007,SUBSPECIES YES,,
11008,SPECIES YES,Spotted Linsang,"""Sikim. . . Sub-Hemalayan mountains"". [India]."
11009,SUBSPECIES YES,,"""Sikim. . . Sub-Hemalayan mountains"". [India]."
11010,SUBSPECIES YES,,
11011,SUBFAMILY YES,,
11012,GENUS YES,,
11013,SPECIES YES,,"""Guinea, Kongo, das Vorgebirge der guten Hofnung und Aethiopien"", restricted by Allen (1924:117) to ""Guinea""."
11014,SUBSPECIES YES,,"""Guinea, Kongo, das Vorgebirge der guten Hofnung und Aethiopien"", restricted by Allen (1924:117) to ""Guinea""."
11015,SUBSPECIES YES,,
11016,SUBSPECIES YES,,
11017,SUBSPECIES YES,,
11018,SUBSPECIES YES,,
11019,SUBSPECIES YES,,
11020,GENUS YES,,
11021,SPECIES YES,Abyssinian Genet,"""In Abyssinien, wo es sehr häuﬁg vorkömmt, führt es beiden Landeseinge-bornen zu Gondar""; Ethiopia, Gondar (12°36'N, 37°28'E)."
11022,SPECIES YES,,"""Calcuimba"" [placed in Angola, Caconda (13°47'S, 15°08'E)]."
11023,SPECIES YES,Bourlon’s Genet,"""Sérédou, Cercle de Macenta"" [Guinea, 8°33’N, 9°28’W]."
11024,SPECIES YES,Crested Servaline Genet,"""Okoiyong, Mamfe Division, Cameroons""; [Nigeria, 5°45’N, 8°25’E]."
11025,SPECIES YES,,"""oriente juxta rivos"", restricted by Linnaeus (1766) to ""oriente juxta rivos, Hispania"", later listed by Thomas (1911<i>a</i>) as ""Spain"". Cabrera (1914), synonymizing <i>G. peninsulae</i>, further restricted the type locality to ""El Pardo, cerca de Madrid"" [Spain, El Pardo, near Madrid (40°32'N, 3°46'W)]."
11026,SUBSPECIES YES,,"""oriente juxta rivos"", restricted by Linnaeus (1766) to ""oriente juxta rivos, Hispania"", later listed by Thomas (1911<i>a</i>) as ""Spain"". Cabrera (1914), synonymizing <i>G. peninsulae</i>, further restricted the type locality to ""El Pardo, cerca de Madrid"" [Spain, El Pardo, near Madrid (40°32'N, 3°46'W)]."
11027,SUBSPECIES YES,,
11028,SUBSPECIES YES,,
11029,SUBSPECIES YES,,
11030,SUBSPECIES YES,,
11031,SPECIES YES,Johnston's Genet,"""in a district from ﬁfteen to twenty miles [32 km] west of the Putu Mountains, which lie west of the Duobe and Cavally Rivers"". [Liberia]"
11032,SPECIES YES,Rusty-spotted Genet,"""in Africa Boreali"". Subsequently redeﬁned by Gaubert et al. (2003<i>b</i>) as ""6 km from Hirna (Harrar Road, 2180m), Ethiopia"", following designation of a neotype."
11033,SPECIES YES,,"""intérieur du Sénégal""."
11034,SPECIES YES,,"""Niapu, Belgian Congo"" [Dem. Rep. Congo, Niapu, 2°25'N, 26°28'E)]."
11035,SPECIES YES,,"""Fernando Po "" [Bioko Isl, Equatorial Guinea]."
11036,SPECIES YES,,"""Gabon""."
11037,SUBSPECIES YES,,"""Gabon""."
11038,SUBSPECIES YES,,
11039,SUBSPECIES YES,,
11040,SUBSPECIES YES,,
11041,SUBSPECIES YES,,
11042,SPECIES YES,,"""Hinterlang von Togo von 9° n. Br. ab."", restricted to ""Borogu = Borgou, (10.78 N., 0.65 E)"" by Schlawe (1981:159)."
11043,SPECIES YES,,"""von dem Vorgebirge der guten Hofnug"" [South Africa, Western Cape Prov., Cape of Good Hope].
South Africa."
11044,SUBSPECIES YES,,"""von dem Vorgebirge der guten Hofnug"" [South Africa, Western Cape Prov., Cape of Good Hope]."
11045,SUBSPECIES YES,,
11046,SPECIES YES,Giant Forest Genet,"""Entebbe, Uganda"". Subsequently restricted by Moreau et al. (1946:410) to ""Near Lupanzula's, ten miles [16 km] west of Beni, Ituri Forest, Congo Belge [Dem. Rep. Congo]"". See Allen (1924) for discussion."
11047,GENUS YES,,
11048,SPECIES YES,Leighton’s Linsang,"""ﬁfteen to twenty miles [24 to 32 km] west of the Putu Mountains, which lie west of the Duobe and Cavally Rivers. The Cavally River is the eastern boundary line between Liberia and the Côte d’Ivoire, and the Duobe is one of its tributaries joining the Cavally about seventy miles [113 km], as the crow ﬂies, from its mouth, after running for over one hundred miles [161 km] nearly parallel to the main stream"" [Liberia]."
11049,SPECIES YES,,"""Fernando Po"" [Equatorial Guinea: Bioko]."
11050,SUBSPECIES YES,,"""Fernando Po"" [Equatorial Guinea: Bioko]."
11051,SUBSPECIES YES,,
11052,GENUS YES,,
11053,SPECIES YES,Malabar Large-spotted Civet,"""Southern Malabar"" restricted by Pocock (1933<i>a</i>:446) to ""Travancore"" [India]."
11054,SPECIES YES,Large-spotted Civet,"""vicinity of Prome"" [Burma, Prome (= Pye) 18°49'N, 95°13'E]."
11055,SPECIES YES,,"Not given. Fixed by Gray (1843:48) as ""Sumatra"" [Indonesia]."
11056,SUBSPECIES YES,,"Not given. Fixed by Gray (1843:48) as ""Sumatra"" [Indonesia]."
11057,SUBSPECIES YES,,
11058,SPECIES YES,Large Indian Civet,"""Indiis"", subsequently restricted by Thomas (1911<i>a</i>:137) to ""Bengal""."
11059,SUBSPECIES YES,,"""Indiis"", subsequently restricted by Thomas (1911<i>a</i>:137) to ""Bengal""."
11060,SUBSPECIES YES,,
11061,SUBSPECIES YES,,
11062,SUBSPECIES YES,,
11063,SUBSPECIES YES,,
11064,GENUS YES,,
11065,SPECIES YES,Small Indian Civet,"""l'Inde"" [India]."
11066,SUBSPECIES YES,,"""l'Inde"" [India]."
11067,SUBSPECIES YES,,
11068,SUBSPECIES YES,,
11069,SUBSPECIES YES,,
11070,SUBSPECIES YES,,
11071,SUBSPECIES YES,,
11072,SUBSPECIES YES,,
11073,SUBSPECIES YES,,
11074,SUBSPECIES YES,,
11075,SUBSPECIES YES,,
11076,SUBSPECIES YES,,
11077,SUBSPECIES YES,,
11078,FAMILY YES,,
11079,SUBFAMILY YES,,
11080,GENUS YES,,
11081,SPECIES YES,,"""Madagascar""."
11082,GENUS YES,,
11083,SPECIES YES,,"""Tamatave"" [Madagascar, 18°10'S, 49°23'E]."
11084,SUBSPECIES YES,,"""Tamatave"" [Madagascar, 18°10'S, 49°23'E]."
11085,SUBSPECIES YES,,
11086,GENUS YES,,
11087,SPECIES YES,,"""Madagascar""."
11088,SUBFAMILY YES,,
11089,GENUS YES,,
11090,SPECIES YES,Ring-tailed Mongoose,"""Madagascar""."
11091,SUBSPECIES YES,,"""Madagascar""."
11092,SUBSPECIES YES,,
11093,SUBSPECIES YES,,
11094,GENUS YES,,
11095,SPECIES YES,"Broad-striped Malagasy Mongoose Unknown, erroneously listed by Gmelin as ""in India"".",
11096,SUBSPECIES YES,,"Unknown, erroneously listed by Gmelin as ""in India""."
11097,SUBSPECIES YES,,
11098,SPECIES YES,Grandidier’s Mongoose,"""Madagascar""."
11099,GENUS YES,,
11100,SPECIES YES,Narrow-striped Mongoose,"""ŕ la côte ouest de Madagascar"" (pg. 84)."
11101,SUBSPECIES YES,,"""ŕ la côte ouest de Madagascar"" (pg. 84)."
11102,SUBSPECIES YES,,
11103,GENUS YES,,
11104,SPECIES YES,Brown-tailed Mongoose,"""Madagascar""."
11105,FAMILY YES,,
11106,GENUS YES,,
11107,SPECIES YES,African Palm Civet,"""Africa, Ashantee"" [Ghana; Ashanti Region; aproximately at 6°55'N 0°32'E]."
11108,SUBSPECIES YES,,"""Africa, Ashantee"" [Ghana; Ashanti Region; aproximately at 6°55'N 0°32'E]."
11109,SUBSPECIES YES,,
11110,SUBSPECIES YES,,
11111,SUBSPECIES YES,,
11112,FAMILY YES,,
11113,GENUS YES,,
11114,SPECIES YES,Marsh Mongoose,"""une grand des marais du Cap"" [South Africa, Western Cape Prov., Cape of Good Hope].Algeria, Angola, Botswana, Cameroon, Central African Republic, Côte d’Ivoire, Dem. Rep. Congo, Equatorial Guinea, Ethiopia, Gabon, Liberia, Malawi, Mozambique, Niger, Ruwanda, Senegal, Sierra Leone, Somalia, South Africa, Sudan, Tanzania, Uganda, and Zambia."
11115,SUBSPECIES YES,,"""une grand des marais du Cap"" [South Africa, Western Cape Prov., Cape of Good Hope]."
11116,SUBSPECIES YES,,
11117,SUBSPECIES YES,,
11118,SUBSPECIES YES,,
11119,SUBSPECIES YES,,
11120,SUBSPECIES YES,,
11121,SUBSPECIES YES,,
11122,SUBSPECIES YES,,
11123,SUBSPECIES YES,,
11124,SUBSPECIES YES,,
11125,SUBSPECIES YES,,
11126,GENUS YES,,
11127,SPECIES YES,Bushy-tailed Mongoose,"""Africa orient., Tette, Boror, 17-18° Lat. austr"". (pg. 82). Restricted by Moreau et al. (1945:410) to ""Tette"" [Mozambique]."
11128,SUBSPECIES YES,,"""Africa orient., Tette, Boror, 17-18° Lat. austr"". (pg. 82). Restricted by Moreau et al. (1945:410) to ""Tette"" [Mozambique]."
11129,SUBSPECIES YES,,
11130,SUBSPECIES YES,,
11131,SUBSPECIES YES,,
11132,SUBSPECIES YES,,
11133,SPECIES YES,Jackson's Mongoose,"""Mianzini, Masailand, 8000 feet [2438 m]"" (pg. 523). Restricted by Moreau et al. (1945:410) to ""Mianzini. . . a few miles E.S.E. of Naivasha and on the southern end of the Kinangop Plateau. . . 9000 ft [2743 m]"" [Kenya]."
11134,SPECIES YES,Black-footed Mongoose,"""Gubon"" [Gabon]."
11135,GENUS YES,,
11136,SPECIES YES,Alexander’s Kusimanse,"""from Banzyville, Ubanghi"" [= Mobayi, Zaire (=Dem. Rep. Congo), 4°N, 21°11'E (Goldman, 1984)]."
11137,SPECIES YES,Angolan Kusimanse,"""Dalla Tando"" [= Angola, Ndala Tando, 9°18'S, 14°54'E (Goldman, 1984)]."
11138,SUBSPECIES YES,,"""Dalla Tando"" [= Angola, Ndala Tando, 9°18'S, 14°54'E (Goldman, 1984)]."
11139,SUBSPECIES YES,,
11140,SPECIES YES,Common Kusimanse,"""côtes occidentales de l'Afrique, et vraisemblablement des parties qui sont au midi de la Gambie"" restricted by F. G. Cuvier (1829:158) to ""Sierra Leone""."
11141,SPECIES YES,Flat-headed Kusimanse,"""Eséka, Cameroon""."
11142,GENUS YES,,
11143,SPECIES YES,Yellow Mongoose,"""du Cap"", restricted by Roberts (1951:151) to ""Uitenhage, C.P."" [South Africa]."
11144,SUBSPECIES YES,,"""du Cap"", restricted by Roberts (1951:151) to ""Uitenhage, C.P."" [South Africa]."
11145,SUBSPECIES YES,,
11146,SUBSPECIES YES,,
11147,SUBSPECIES YES,,
11148,SUBSPECIES YES,,
11149,SUBSPECIES YES,,
11150,SUBSPECIES YES,,
11151,SUBSPECIES YES,,
11152,SUBSPECIES YES,,
11153,SUBSPECIES YES,,
11154,SUBSPECIES YES,,
11155,SUBSPECIES YES,,
11156,GENUS YES,,
11157,SPECIES YES,Pousargues’ Mongoose,"""Ubangi, Congo Belge"", restricted by Moreau et al. (1945:410) to ""on the Upper Kemo, a tributary to the north of the Ubangui, about 6°17'N, 19°12'E"" [Central African Republic]."
11158,GENUS YES,,
11159,SPECIES YES,Angolan Slender Mongoose,"""Benguella"", [Angola]."
11160,SPECIES YES,Somalian Slender Mongoose,"""Abyssinia"".
Somalia."
11161,SUBSPECIES YES,,"""Abyssinia""."
11162,SUBSPECIES YES,,
11163,SUBSPECIES YES,,
11164,SUBSPECIES YES,,
11165,SPECIES YES,Cape Gray Mongoose,"""Kap"" [Cape of Good Hope, Western Cape Prov., South Africa]."
11166,SUBSPECIES YES,,"""Kap"" [Cape of Good Hope, Western Cape Prov., South Africa]."
11167,SUBSPECIES YES,,
11168,SUBSPECIES YES,,
11169,SPECIES YES,Slender Mongoose,"""Kordofan"" [Sudan]."
11170,SUBSPECIES YES,,"""Kordofan"" [Sudan]."
11171,SUBSPECIES YES,,
11172,SUBSPECIES YES,,
11173,SUBSPECIES YES,,
11174,SUBSPECIES YES,,
11175,SUBSPECIES YES,,
11176,SUBSPECIES YES,,
11177,SUBSPECIES YES,,
11178,SUBSPECIES YES,,
11179,SUBSPECIES YES,,
11180,SUBSPECIES YES,,
11181,SUBSPECIES YES,,
11182,SUBSPECIES YES,,
11183,SUBSPECIES YES,,
11184,SUBSPECIES YES,,
11185,SUBSPECIES YES,,
11186,SUBSPECIES YES,,
11187,SUBSPECIES YES,,
11188,SUBSPECIES YES,,
11189,SUBSPECIES YES,,
11190,SUBSPECIES YES,,
11191,SUBSPECIES YES,,
11192,SUBSPECIES YES,,
11193,SUBSPECIES YES,,
11194,SUBSPECIES YES,,
11195,SUBSPECIES YES,,
11196,GENUS YES,,
11197,SPECIES YES,Ethiopian Dwarf Mongoose,"""Gabridehari, 60 mi [96 km] West of Gerlogobi"", restricted by Moreau et al. (1946:410) to ""south-east Ethiopia (Ogaden) at about 7°0'N, 45°20'E"". Further restricted by Yalden et al. (1980) to ""Gabridehari (= Gabredarre, Kebridar) 6°45'N, 44°17'E""."
11198,SUBSPECIES YES,,"""Gabridehari, 60 mi [96 km] West of Gerlogobi"", restricted by Moreau et al. (1946:410) to ""south-east Ethiopia (Ogaden) at about 7°0'N, 45°20'E"". Further restricted by Yalden et al. (1980) to ""Gabridehari (= Gabredarre, Kebridar) 6°45'N, 44°17'E""."
11199,SUBSPECIES YES,,
11200,SUBSPECIES YES,,
11201,SUBSPECIES YES,,
11202,SUBSPECIES YES,,
11203,SPECIES YES,Common Dwarf Mongoose,"""Caﬀraria superiore, juxta tropicum"", restricted by Roberts (1951) to ""Zoutpansberg"" [South Africa]."
11204,SUBSPECIES YES,,"""Caﬀraria superiore, juxta tropicum"", restricted by Roberts (1951) to ""Zoutpansberg"" [South Africa]."
11205,SUBSPECIES YES,,
11206,SUBSPECIES YES,,
11207,SUBSPECIES YES,,
11208,SUBSPECIES YES,,
11209,SUBSPECIES YES,,
11210,SUBSPECIES YES,,
11211,GENUS YES,"<i>Viverra ichneumon</i> Linnaeus, 1758, by absolute tautonomy, through the replaced name <i>Ichneumon</i> Lacépčde, 1799 (Melville and Smith, 1987).",
11212,SPECIES YES,Short-tailed Mongoose,"""Indian Islands"", restricted by Kloss (1917) to ""Borneo"", however, Thomas (1921<i>c</i>) believed it to be from ""Malacca"". Pocock (1941<i>a</i>) believed the type to represent a ""Malayan Race""."
11213,SUBSPECIES YES,,"""Indian Islands"", restricted by Kloss (1917) to ""Borneo"", however, Thomas (1921<i>c</i>) believed it to be from ""Malacca"". Pocock (1941<i>a</i>) believed the type to represent a ""Malayan Race""."
11214,SUBSPECIES YES,,
11215,SUBSPECIES YES,,
11216,SUBSPECIES YES,,
11217,SUBSPECIES YES,,
11218,SUBSPECIES YES,,
